VentaID,FechaVenta,HoraVenta,SucursalNombre,CiudadSucursal,VendedorNombre,ClienteNombre,GeneroCliente,EdadCliente,EmailCliente,TelefonoCliente,DireccionCliente,MetodoPago,NombreProducto1,MarcaProducto1,CantidadProducto1,PrecioUnitarioProducto1,SubtotalProducto1,NombreProducto2,MarcaProducto2,CantidadProducto2,PrecioUnitarioProducto2,SubtotalProducto2,NombreProducto3,MarcaProducto3,CantidadProducto3,PrecioUnitarioProducto3,SubtotalProducto3,DescuentoVenta,TotalVenta,AñoVenta,MesVenta
1,31/12/2015,05:42 a. m.,TechCore Pereira,Pereira,Amílcar Ortega-Alberto,Bienvenida Nebot-Fiol,F,37,bienvenida19@hotmail.com,+34806548767,cll 52 #32-98,Tarjeta Crédito,Apple MacBook Pro 16,Apple,1,9600000,9600000,MSI GS66 Stealth,MSI,20.0,80000000.0,160000000.0,Dell Latitude 7420,Dell,10.0,56000000.0,56000000.0,0,312000000,2015,12
2,23/03/2019,07:03 p. m.,TechCore Medellín #1,Medellín,Ana Sofía Llopis Blázquez,Teófila Bueno-Novoa,F,43,teófila35@gmail.com,+34 947255990,cll 96 #81-94,Billetera Digital,Acer Nitro 5,Acer,1,4000000,4000000,Lenovo ThinkPad X1 Carbon,Lenovo,10.0,68000000.0,68000000.0,,,,,,0,108000000,2019,3
3,23/12/2018,02:32 a. m.,TechCore Medellín #2,Medellín,Juan José Porcel-Riera,Gilberto Chamorro Catalá,M,38,gilberto57@hotmail.com,+34 978 810 249,cra 28 #79-85,Tarjeta Débito,Dell Latitude 7420,Dell,2,5600000,11200000,Lenovo Legion 5 Pro,Lenovo,10.0,72000000.0,72000000.0,HP Pavilion 15,HP,10.0,35000000.0,35000000.0,0,219000000,2018,12
4,14/11/2015,12:37 a. m.,TechCore Medellín #2,Medellín,Juan José Porcel-Riera,Máximo Coronado Huerta,M,30,máximo65@hotmail.com,+34 825429634,cll 5 #89-26,Billetera Digital,Asus TUF Gaming A15,Asus,1,4800000,4800000,Lenovo Yoga 7i,Lenovo,20.0,44000000.0,88000000.0,,,,,,0,136000000,2015,11
5,29/11/2016,10:34 a. m.,TechCore Cali,Cali,Jacinta Juárez Marín,Yago Oliver,M,51,yago38@yahoo.com,+34988285275,cra 32 #97-86,Tarjeta Crédito,HP Spectre x360,HP,1,5200000,5200000,HP Pavilion 15,HP,10.0,35000000.0,35000000.0,Microsoft Surface Laptop 4,Microsoft,10.0,52000000.0,52000000.0,0,139000000,2016,11
6,08/01/2015,10:33 p. m.,TechCore Cali,Cali,Clímaco Salinas Zabaleta,Conrado Patiño Tejero,M,22,conrado82@hotmail.com,+34 942980111,cra 4 #25-1,Billetera Digital,Samsung Galaxy Book Odyssey,Samsung,1,6800000,6800000,Asus VivoBook 15,Asus,20.0,24000000.0,48000000.0,HP Omen 16,HP,10.0,60000000.0,60000000.0,0,176000000,2015,1
7,02/10/2022,11:56 a. m.,TechCore Cali,Cali,Jacinta Juárez Marín,Isabela de Jover,F,36,isabela71@gmail.com,+34 726 21 48 92,cra 72 #48-24,Billetera Digital,Lenovo IdeaPad 5,Lenovo,2,2800000,5600000,Dell XPS 13,Dell,20.0,48000000.0,96000000.0,,,,,,15,129200000,2022,10
8,04/06/2022,07:00 a. m.,TechCore Pereira,Pereira,Carina Parejo Carranza,Cristian Diez Gual,M,43,cristian12@yahoo.com,+34 979 665 063,cra 95 #52-59,Tarjeta Crédito,Asus TUF Gaming A15,Asus,2,4800000,9600000,Lenovo Yoga 7i,Lenovo,10.0,44000000.0,44000000.0,Dell Latitude 7420,Dell,20.0,56000000.0,112000000.0,5,239400000,2022,6
9,14/01/2019,12:27 p. m.,TechCore Bogotá #2,Bogotá,Edu Juan Pedraza,Gertrudis Espinosa-Jódar,F,35,gertrudis61@gmail.com,+34807 279 120,cra 48 #3-92,Tarjeta Crédito,Dell XPS 13,Dell,1,4800000,4800000,,,,,,,,,,,0,48000000,2019,1
10,19/07/2023,02:25 p. m.,TechCore Bogotá #2,Bogotá,Armida Azorin Plaza,Sergio Paulino Cánovas Redondo,M,24,sergio78@hotmail.com,+34926 93 03 22,cra 41 #99-47,Transferencia,Lenovo Legion 5 Pro,Lenovo,2,7200000,14400000,Lenovo ThinkPad X1 Carbon,Lenovo,20.0,68000000.0,136000000.0,,,,,,0,280000000,2023,7
